location,population,country,d0,c0,d1,c1,d2,c2,d3,c3,d4,c4,d5,c5,days_since_1Jan2020
Afghanistan,38928341.0,Afghanistan,0,100,77,619.24,154,979.57,231,1105.49,308,1413.06,386,1484.6,88.0
Albania,2877800.0,Albania,0,100,78,451.39,156,3102.02,234,9108.0,312,26530.68,391,45032.32,83.0
Algeria,43851043.0,Algeria,0,100,78,231.56,157,962.99,235,1465.35,314,2437.5,393,2728.37,81.0
Andorra,77265.0,Andorra,0,100,78,11026.99,156,13719.02,235,72684.92,313,127315.08,392,165728.34,82.0
Angola,32866268.0,Angola,0,100,62,52.79,124,197.41,187,495.25,249,619.66,312,742.07,162.0
Antigua and Barbuda,97928.0,Antigua and Barbuda,0,100,40,1327.51,81,1541.95,121,2052.53,162,8659.42,203,12417.29,271.0
Argentina,45195777.0,Argentina,0,100,78,487.21,157,7763.27,236,28174.23,315,42379.22,394,59607.65,80.0
Armenia,2963234.0,Armenia,0,100,79,4172.47,158,14452.12,237,37306.54,316,56265.55,395,70369.06,79.0
Australia,25459700.0,Australia,0,100,80,282.17,161,942.23,242,1086.34,323,1130.96,404,1159.99,70.0
Austria,9006400.0,Austria,0,100,81,1846.24,162,2613.03,243,15431.14,324,45205.63,406,65889.03,68.0
Azerbaijan,10139175.0,Azerbaijan,0,100,77,876.01,155,3549.2,232,7059.75,310,22690.8,388,29653.89,86.0
Bahamas,393248.0,Bahamas,0,100,66,1136.69,132,10731.14,198,19272.83,264,21134.25,330,24498.54,144.0
Bahrain,1701583.0,Bahrain,0,100,80,6140.75,161,27962.79,242,48933.26,323,59424.67,404,96445.49,70.0
Bangladesh,164689383.0,Bangladesh,0,100,75,660.49,150,1941.15,226,2664.38,301,3252.07,377,4365.49,97.0
Barbados,287371.0,Barbados,0,100,56,619.41,112,824.72,168,1224.9,224,9447.72,281,13157.21,193.0
Belarus,9449321.0,Belarus,0,100,76,5711.84,153,7586.47,230,12083.94,307,26280.83,384,36428.33,90.0
Belgium,11431406.0,Belgium,0,100,81,5026.07,163,6851.56,244,41931.94,326,60941.06,408,83104.04,66.0
Belize,397621.0,Belize,0,100,51,4589.8,102,12280.54,153,27936.15,204,30916.38,255,31532.54,219.0
Bolivia,11673029.0,Bolivia,0,100,76,1633.94,153,9988.67,229,12271.54,306,18575.73,383,24763.58,91.0
Bosnia and Herzegovina,3280815.0,Bosnia and Herzegovina,0,100,78,824.19,156,5585.81,235,20815.86,313,37032.57,392,57605.81,82.0
Botswana,2351625.0,Botswana,0,100,58,664.22,117,2518.68,175,5792.59,234,11279.01,293,18742.36,181.0
Brazil,210147125.0,Brazil,0,100,80,2505.14,160,16664.4,240,26953.09,320,42812.27,401,66349.09,73.0
Bulgaria,6948445.0,Bulgaria,0,100,78,390.16,157,2214.31,236,12565.55,315,31412.64,394,55606.83,80.0
Burkina Faso,20903278.0,Burkina Faso,0,100,78,42.62,156,64.68,234,124.81,312,506.14,390,628.08,84.0
Burma,54409794.0,Burma,0,100,72,5.5,145,44.51,218,1479.6,291,2593.36,364,2621.37,110.0
Cabo Verde,555988.0,Cabo Verde,0,100,71,2631.35,142,8820.33,214,19011.2,285,25730.77,357,36810.15,117.0
Cameroon,26545864.0,Cameroon,0,100,77,327.02,154,721.09,231,854.82,308,1115.69,385,2441.4,89.0
Canada,37894482.0,Canada,0,100,80,2419.01,161,3309.06,241,6945.81,322,20213.84,403,29802.36,71.0
Central African Republic,4829764.0,Central African Republic,0,100,69,905.43,138,994.25,207,1018.27,276,1032.97,345,1198.2,129.0
Chile,17576779.0,Chile,0,100,79,7541.09,159,22402.8,239,29748.28,319,40629.91,399,63988.86,75.0
China,1404676330.0,China,0,100,90,59.7,180,60.95,271,64.79,361,69.72,452,72.79,22.0
Colombia,48258134.0,Colombia,0,100,79,759.15,158,11213.43,237,23941.17,316,42844.07,396,54974.09,78.0
Comoros,869595.0,Comoros,0,100,64,443.88,129,564.63,193,709.53,258,3783.37,323,4391.7,151.0
Congo (Brazzaville),5518092.0,Congo (Brazzaville),0,100,73,196.99,147,886.36,220,1020.64,294,1429.3,368,1827.44,106.0
Congo (Kinshasa),89561404.0,Congo (Kinshasa),0,100,76,55.54,152,112.74,229,132.19,305,254.25,382,323.31,92.0
Costa Rica,5094114.0,Costa Rica,0,100,78,258.73,157,6930.55,235,23511.06,314,37941.04,393,44870.81,81.0
Cote d'Ivoire,26378275.0,Cote d'Ivoire,0,100,77,177.57,154,674.68,232,794.02,309,1068.23,387,1727.18,87.0
Croatia,4105268.0,Croatia,0,100,79,547.35,158,2024.47,237,17743.06,316,56400.46,395,74974.4,79.0
Cuba,11326616.0,Cuba,0,100,77,197.59,154,346.53,231,668.16,308,2266.7,386,8255.86,88.0
Cyprus,1207361.0,Cyprus,0,100,78,805.06,156,1229.13,234,5504.57,312,25391.74,391,46596.67,83.0
Czechia,10708982.0,Czechia,0,100,80,868.62,160,1965.17,240,38736.46,320,89285.33,401,149582.94,73.0
Denmark,5897840.0,Denmark,0,100,80,1999.55,161,2754.57,242,9281.7,323,33440.04,404,41256.8,70.0
Djibouti,988002.0,Djibouti,0,100,75,4654.85,150,5452.42,225,5726.71,300,6007.07,375,10587.02,99.0
Dominican Republic,10847904.0,Dominican Republic,0,100,78,1806.8,157,8500.9,235,12100.49,314,19396.56,393,24071.84,81.0
Ecuador,17643060.0,Ecuador,0,100,79,2356.45,158,6108.29,237,9959.21,316,13943.16,396,20435.57,78.0
Egypt,102334403.0,Egypt,0,100,80,269.08,160,949.32,240,1069.26,320,1605.34,400,2113.99,74.0
El Salvador,6486201.0,El Salvador,0,100,74,741.27,149,4040.27,224,5721.22,299,8543.68,374,10415.5,100.0
Equatorial Guinea,1402985.0,Equatorial Guinea,0,100,71,2188.9,143,3563.83,215,3661.48,287,3975.81,359,5173.97,115.0
Estonia,1326539.0,Estonia,0,100,80,1409.68,160,1691.62,240,4711.51,320,32155.86,400,88617.07,74.0
Eswatini,1160164.0,Eswatini,0,100,70,1045.54,141,4495.05,211,5483.71,282,13947.17,353,15874.48,121.0
Ethiopia,114963583.0,Ethiopia,0,100,73,50.85,146,551.19,219,923.8,292,1219.14,365,2105.26,109.0
Finland,5540718.0,Finland,0,100,80,1242.62,160,1415.34,240,3212.04,320,7871.9,401,15184.13,73.0
France,68151730.0,France,0,100,82,2691.01,165,3612.23,248,24052.73,331,45726.72,414,78508.95,60.0
Gabon,2225728.0,Gabon,0,100,73,2423.48,146,3873.34,219,4102.48,292,5000.16,366,9820.61,108.0
Gambia,2416664.0,Gambia,0,100,54,1396.97,108,1523.17,163,1571.17,217,1884.42,272,2366.9,202.0
Georgia,3989175.0,Georgia,0,100,76,216.59,153,368.25,230,19973.55,307,64702.85,384,74039.87,90.0
Germany,83019213.0,Germany,0,100,82,2164.68,165,2677.46,247,6951.78,330,25953.7,413,38009.54,61.0
Ghana,31072945.0,Ghana,0,100,77,333.34,155,1414.38,232,1609.7,310,2105.59,388,2951.41,86.0
Greece,10423056.0,Greece,0,100,80,279.96,160,761.2,240,5439.67,320,14782.9,401,30247.65,73.0
Guatemala,17915567.0,Guatemala,0,100,74,811.58,149,4336.06,223,6534.32,298,8947.47,373,11874.25,101.0
Guinea,13132792.0,Guinea,0,100,75,368.62,151,721.78,227,963.54,303,1108.29,379,1634.08,95.0
Guinea-Bissau,1967998.0,Guinea-Bissau,0,100,70,909.55,141,1156.0,212,1230.69,283,1408.54,354,1886.18,120.0
