location,start,end,offset,actual_pop_scale,min_sim_number,min_rmse,cum_case_in_1M,min_rmse_fraction,group_size,gamma,gamma_M,S2A,global_day
Afghanistan,130.0,516.0,0.0,38.928341,28313.0,44.74077159778677,1817.7245210629,0.024613615033165177,50.0,0.5,0.01,0.0125882352941176,130.0
Albania,94.0,459.0,0.0,2.8778,13816.0,454.0667859898956,43847.035930224396,0.010355700821201937,15.0,0.5,0.99,0.0084705882352941,94.0
Algeria,124.0,516.0,0.0,43.851043,10013.0,28.316270292170515,2935.5060038138,0.009646129238155911,20.0,0.5,0.8811111111111111,0.0076470588235294,124.0
Angola,256.0,516.0,0.0,32.866268000000005,28201.0,26.33088566719641,1045.6313445749001,0.02518180600056628,20.0,0.3,0.01,0.0125882352941176,256.0
Antigua and Barbuda,94.0,440.0,0.0,0.0979279999999999,28504.0,522.6444059429169,9833.755412139499,0.0531479972847125,15.0,0.3,0.1188888888888888,0.0125882352941176,94.0
Argentina,122.0,443.0,0.0,45.195777,28919.0,1034.2628942656636,49269.050070762096,0.02099214197919821,20.0,0.5,0.2277777777777777,0.0125882352941176,122.0
Armenia,87.0,516.0,0.0,2.9632339999999995,19406.0,859.5840141608702,75132.77722920291,0.011440865702842189,15.0,0.3,0.5544444444444444,0.0101176470588235,87.0
Australia,86.0,475.0,0.0,25.4597,10261.0,14.834148181436197,1160.8934904967,0.01277821635048471,10.0,0.5,0.99,0.0076470588235294,86.0
Austria,76.0,416.0,0.0,9.0064,22355.0,688.9615852465713,49038.350506306604,0.014049444529296861,50.0,0.3,0.3366666666666666,0.0109411764705882,76.0
Azerbaijan,102.0,457.0,0.0,10.139174999999998,16310.0,499.20257278223596,26033.7749373099,0.019175189690482097,20.0,0.5,0.6633333333333333,0.0092941176470588,102.0
Bahamas,99.0,483.0,0.0,0.393248,52040.0,609.9354322992797,25988.6890715273,0.023469265056832476,20.0,0.95,0.8811111111111111,0.0175294117647058,99.0
Bahrain,71.0,431.0,0.0,1.701583,54546.0,1661.3819974416372,74122.7433513381,0.022413930223369762,30.0,0.95,0.5544444444444444,0.0183529411764705,71.0
