location,start,end,offset,actual_pop_scale
Afghanistan,130.0,516.0,0.0,38.928341
Albania,94.0,459.0,0.0,2.8778
Algeria,124.0,516.0,0.0,43.851043
Angola,256.0,516.0,0.0,32.866268000000005
Antigua and Barbuda,94.0,440.0,0.0,0.0979279999999999
Argentina,122.0,443.0,0.0,45.195777
Armenia,87.0,516.0,0.0,2.9632339999999995
Australia,86.0,475.0,0.0,25.4597
Austria,76.0,416.0,0.0,9.0064
Azerbaijan,102.0,457.0,0.0,10.139174999999998
Bahamas,99.0,483.0,0.0,0.393248
Bahrain,71.0,431.0,0.0,1.701583
Bangladesh,133.0,516.0,0.0,164.689383
Barbados,89.0,419.0,0.0,0.287371
Belarus,99.0,508.0,0.0,9.449320999999998
Belgium,77.0,415.0,0.0,11.431406
Bolivia,122.0,483.0,0.0,11.673029
Bosnia and Herzegovina,90.0,516.0,0.0,3.280815
Botswana,185.0,516.0,0.0,2.3516250000000007
Brazil,103.0,442.0,0.0,210.147125
Bulgaria,105.0,451.0,0.0,6.948445
Cabo Verde,106.0,516.0,0.0,0.5559880000000001
Cameroon,132.0,516.0,0.0,26.545864
Canada,86.0,431.0,0.0,37.894482
Central African Republic,459.0,516.0,985.9743871542998,4.829764000000001
Chile,88.0,406.0,0.0,17.576779
Colombia,115.0,465.0,0.0,48.258134
Comoros,145.0,516.0,0.0,0.869595
Congo (Brazzaville),148.0,516.0,0.0,5.518092
Costa Rica,100.0,447.0,0.0,5.094114
Cote d'Ivoire,149.0,516.0,0.0,26.378274999999995
Croatia,85.0,433.0,0.0,4.105268
Cuba,112.0,516.0,0.0,11.326615999999996
Cyprus,84.0,423.0,0.0,1.2073609999999997
Czechia,82.0,423.0,0.0,10.708982
Denmark,72.0,407.0,0.0,5.897839999999998
Djibouti,389.0,516.0,5889.8664172744,0.988002
Dominican Republic,91.0,440.0,0.0,10.847903999999996
Ecuador,88.0,488.0,0.0,17.64306
Egypt,134.0,516.0,0.0,102.33440300000002
El Salvador,128.0,471.0,0.0,6.486201
Equatorial Guinea,115.0,505.0,0.0,1.402985
Estonia,75.0,415.0,0.0,1.326539
Ethiopia,204.0,516.0,0.0,114.963583
Finland,82.0,416.0,0.0,5.540718000000001
France,77.0,421.0,0.0,68.15173
Gabon,119.0,516.0,0.0,2.225728
