location,vac1RateCumu_asOfLastMonth,vac2RateCumu_asOfLastMonth,days_exceed3,dailyVac1_permillion_bw3andLastMonth,dailyVac2_permillion_bw3andLastMonth,population,govex,dailyVac1_permillion_duringLastMonth,dailyVac2_permillion_duringLastMonth
Afghanistan,0.381028952659452,0.381028952659452,,,,38928341.0,True,60.8108660225787,60.8108660225787
Albania,6.70828410591424,6.70828410591424,459.0,894.183300352487,894.183300352487,2877800.0,True,513.648418706942,513.648418706942
Algeria,0.0427583900341892,0.0427583900341892,,,,43851043.0,True,445.974605732941,445.974605732941
Andorra,10.4565456545655,10.4565456545655,435.0,1094.63742307419,1094.63742307419,77265.0,True,3758.74399584171,3758.74399584171
Angola,0.654150176101528,0.654150176101528,,,,32866268.0,True,154.171453922929,154.171453922929
Antigua and Barbuda,11.2914590311249,11.2914590311249,440.0,674.031726854101,674.031726854101,97928.0,True,1622.40658706462,1622.40658706462
Argentina,6.70411142616267,6.70411142616267,443.0,705.814216177946,705.814216177946,45195777.0,True,1503.03508908979,1503.03508908979
Armenia,0.224096375784025,0.224096375784025,,,,2963234.0,True,102.685868906916,102.685868906916
Australia,4.13683095244641,4.13683095244641,475.0,629.005313706204,629.005313706204,25459700.0,True,1087.32434447001,1087.32434447001
Austria,14.1167780689288,14.1167780689288,416.0,1258.90172543969,1258.90172543969,9006400.0,True,2383.04911489464,2383.04911489464
Azerbaijan,5.55471475736438,5.55471475736438,457.0,583.592261480506,583.592261480506,10139175.0,True,1000.91651854667,1000.91651854667
Bahamas,3.19404040198552,3.19404040198552,483.0,472.94544024343,472.94544024343,393248.0,True,837.216898668885,837.216898668885
Bahrain,25.0781772032278,25.0781772032278,431.0,2074.85859793325,2074.85859793325,1701583.0,True,1968.71706162495,1968.71706162495
Bangladesh,1.50308975897979,1.50308975897979,,,,164689383.0,True,9.81427231173062,9.81427231173062
Barbados,12.0392280362319,12.0392280362319,419.0,1069.95565594344,1069.95565594344,287371.0,True,780.799149037531,780.799149037531
Belarus,1.88088117654168,1.88088117654168,508.0,84.0735011542097,84.0735011542097,9449321.0,True,305.100433722579,305.100433722579
Belgium,14.422694373728,14.422694373728,415.0,1278.02596315504,1278.02596315504,11431406.0,True,2963.8164115313,2963.8164115313
Belize,4.73082407619316,4.73082407619316,463.0,608.394368905291,608.394368905291,397621.0,True,624.013741079911,624.013741079911
Bolivia,3.50282475953756,3.50282475953756,483.0,592.272462988281,592.272462988281,11673029.0,True,631.356155259909,631.356155259909
Bosnia and Herzegovina,1.77323317529333,1.77323317529333,,,,3280815.0,True,550.155884260269,550.155884260269
Botswana,0.760112688034869,0.760112688034869,,,,2351625.0,True,507.500818754362,507.500818754362
Brazil,7.42072750222017,7.42072750222017,442.0,798.917309364454,798.917309364454,210147125.0,True,1146.70622369462,1146.70622369462
Bulgaria,4.86889152896799,4.86889152896799,451.0,510.917301530165,510.917301530165,6948445.0,True,473.566155750931,473.566155750931
Burkina Faso,0.0,0.0,,,,20903278.0,False,,
Burma,1.37608497470143,1.37608497470143,,,,54409794.0,True,55.3063971795106,55.3063971795106
Cabo Verde,0.0,0.0,,,,555988.0,False,,
Cameroon,0.0610537671706598,0.0610537671706598,,,,26545864.0,True,13.8211798753404,13.8211798753404
Canada,15.4852466382836,15.4852466382836,431.0,1640.98034114835,1640.98034114835,37894482.0,True,2960.81153332136,2960.81153332136
Central African Republic,0.0,0.0,,,,4829764.0,False,,
Chile,26.261375875523,26.261375875523,406.0,2241.51292297225,2241.51292297225,17576779.0,True,1941.28287099701,1941.28287099701
China,11.3757879012598,11.3757879012598,449.0,1469.80346307135,1469.80346307135,1404676330.0,True,3476.30881605118,3476.30881605118
Colombia,5.00499356232879,5.00499356232879,465.0,682.100189637278,682.100189637278,48258134.0,True,1383.80248615605,1383.80248615605
Comoros,0.0,0.0,,,,869595.0,False,,
Congo (Brazzaville),0.0,0.0,,,,5518092.0,False,,
Congo (Kinshasa),0.0,0.0,,,,89561404.0,False,,
Costa Rica,7.15434519133259,7.15434519133259,447.0,814.649351519551,814.649351519551,5094114.0,True,1555.53182587058,1555.53182587058
Cote d'Ivoire,0.507754961232302,0.507754961232302,,,,26378275.0,True,67.6769657190709,67.6769657190709
Croatia,10.6492803880283,10.6492803880283,433.0,1088.45087095909,1088.45087095909,4105268.0,True,1620.17437107638,1620.17437107638
Cuba,0.0,0.0,,,,11326616.0,False,,
Cyprus,11.8528344049543,11.8528344049543,423.0,1104.89354579458,1104.89354579458,1207361.0,True,1372.6885704949,1372.6885704949
Czechia,12.1829670644698,12.1829670644698,423.0,1144.92022748071,1144.92022748071,10708982.0,True,2273.37051000438,2273.37051000438
Denmark,14.1986388237049,14.1986388237049,407.0,1163.04435883042,1163.04435883042,5897840.0,True,2281.4079446472,2281.4079446472
Djibouti,0.0,0.0,,,,988002.0,False,,
Dominican Republic,9.70283061133284,9.70283061133284,440.0,1072.00402128617,1072.00402128617,10847904.0,True,2628.59088842446,2628.59088842446
Ecuador,3.12514240726949,3.12514240726949,488.0,575.909876177942,575.909876177942,17643060.0,True,889.993554259826,889.993554259826
Egypt,0.519904337547169,0.519904337547169,,,,102334403.0,True,169.784686349605,169.784686349605
El Salvador,7.06202290061625,7.06202290061625,471.0,1217.47177842109,1217.47177842109,6486201.0,True,1047.35621101255,1047.35621101255
Equatorial Guinea,3.91445738906688,3.91445738906688,505.0,711.259467233338,711.259467233338,1402985.0,True,259.676746825633,259.676746825633
Estonia,13.2482158458967,13.2482158458967,415.0,1158.14480948223,1158.14480948223,1326539.0,True,1484.50215184024,1484.50215184024
Eswatini,0.759095265841726,0.759095265841726,,,,1160164.0,True,86.1669056577207,86.1669056577207
Ethiopia,0.391023825344762,0.391023825344762,,,,114963583.0,True,13.4304100848712,13.4304100848712
Finland,13.263402865838,13.263402865838,416.0,1175.80429106841,1175.80429106841,5540718.0,True,1904.56275906666,1904.56275906666
France,13.2349457599976,13.2349457599976,421.0,1230.63482181983,1230.63482181983,68151730.0,True,2107.7170677271,2107.7170677271
Gabon,0.194003939385226,0.194003939385226,,,,2225728.0,True,143.106493260748,143.106493260748
Gambia,0.398172853156252,0.398172853156252,,,,2416664.0,True,14.9666461033514,14.9666461033514
Georgia,0.997756428334179,0.997756428334179,,,,3989175.0,True,409.404321412565,409.404321412565
Germany,15.0389070178249,15.0389070178249,417.0,1364.52842256618,1364.52842256618,83019213.0,True,2421.78423165421,2421.78423165421
Ghana,0.682161764840764,0.682161764840764,,,,31072945.0,True,99.9222646021503,99.9222646021503
Greece,13.1872120806028,13.1872120806028,415.0,1155.09466097406,1155.09466097406,10423056.0,True,2238.75041712737,2238.75041712737
Guatemala,0.676791306688758,0.676791306688758,,,,17915567.0,True,203.913940930127,203.913940930127
Guinea,0.645668110787105,0.645668110787105,,,,13132792.0,True,125.210458158921,125.210458158921
Guinea-Bissau,0.0,0.0,,,,1967998.0,False,,
Guyana,7.80659810643575,7.80659810643575,467.0,1202.8756305137,1202.8756305137,786559.0,True,967.935920480751,967.935920480751
Haiti,0.0,0.0,,,,11402533.0,False,,
Honduras,0.527135955304844,0.527135955304844,,,,9904608.0,True,386.910168316313,386.910168316313
Hungary,22.6664639479936,22.6664639479936,416.0,2111.36009564871,2111.36009564871,9660350.0,True,902.516889373373,902.516889373373
Iceland,19.2871062271062,19.2871062271062,414.0,1735.97644185879,1735.97644185879,341250.0,True,4958.09996455158,4958.09996455158
India,3.88588199499163,3.88588199499163,461.0,431.043228057538,431.043228057538,1371336863.0,True,720.758236271286,720.758236271286
Indonesia,2.4576660784993,2.4576660784993,471.0,211.041350774032,211.041350774032,273523621.0,True,467.478998411975,467.478998411975
Iran,0.935071600590112,0.935071600590112,,,,83992953.0,True,247.364934178735,247.364934178735
Iraq,0.362071574710306,0.362071574710306,,,,40222503.0,True,44.6760827133941,44.6760827133941
Ireland,11.894005949213,11.894005949213,414.0,1011.75716659742,1011.75716659742,4937796.0,True,2172.71417345688,2172.71417345688
Israel,30.5632599972665,30.5632599972665,363.0,1898.81784993382,1898.81784993382,8655541.0,True,174.293535055716,174.293535055716
Italy,14.2769493437535,14.2769493437535,419.0,1314.00262975333,1314.00262975333,60361006.0,True,2447.85649604914,2447.85649604914
Jamaica,1.39052722901592,1.39052722901592,,,,2961161.0,True,232.254151491213,232.254151491213
Japan,2.44588424220264,2.44588424220264,505.0,858.611271443006,858.611271443006,126166948.0,True,2081.66208168009,2081.66208168009
Jordan,4.66580631060634,4.66580631060634,470.0,659.967869226277,659.967869226277,10203140.0,True,1520.56447898044,1520.56447898044
Kazakhstan,4.18199394600981,4.18199394600981,483.0,809.748030639852,809.748030639852,18776707.0,True,942.659451552429,942.659451552429
Kenya,0.450395006257985,0.450395006257985,,,,53771300.0,True,61.468814488698,61.468814488698
"Korea, South",0.0,0.0,,,,51269183.0,False,181.655829742053,181.655829742053
Kosovo,0.762787745682365,0.762787745682365,,,,1810366.0,True,551.447928565363,551.447928565363
Kuwait,10.6543329298736,10.6543329298736,433.0,1029.7448747263,1029.7448747263,4270563.0,True,2417.14749206634,2417.14749206634
Kyrgyzstan,0.207309228071342,0.207309228071342,,,,6524191.0,True,147.835657251011,147.835657251011
Latvia,9.64461918712842,9.64461918712842,449.0,1207.10864810273,1207.10864810273,1886202.0,True,1782.00733879596,1782.00733879596
Lebanon,2.75503037019434,2.75503037019434,481.0,352.263947573966,352.263947573966,6825442.0,True,681.29819143179,681.29819143179
Lesotho,0.0,0.0,,,,2142252.0,False,,
Libya,0.0,0.0,,,,6871287.0,False,,
Liechtenstein,13.2312452473975,13.2312452473975,422.0,1239.44245801391,1239.44245801391,38137.0,True,2361.81610103472,2361.81610103472
Lithuania,14.7132323473133,14.7132323473133,414.0,1291.22968160879,1291.22968160879,2722291.0,True,2029.55833417396,2029.55833417396
Luxembourg,13.5840671207842,13.5840671207842,425.0,1326.89056505625,1326.89056505625,625976.0,True,2610.90345832078,2610.90345832078
